"bootstrap","Ya0g0","Ya0g1","Ya1g0","Ya1g1","pNDE","tNDE","pNDE_m","tNDE_m","pNIE","tNIE","pNIE_m","tNIE_m","TE","TE_m"
58,0.735013333333333,0.740386666666667,0.803676666666667,0.81194,0.0686633333333333,0.0715533333333333,1.0934533725946,1.09667999829359,0.00537333333333332,0.00826333333333335,1.00735054276144,1.0102953140648,0.0769266666666667,1.10468917390264
59,0.722143333333333,0.72778,0.812146666666667,0.82141,0.0900033333333333,0.09363,1.12466817705794,1.12870902441316,0.00563666666666668,0.00926333333333333,1.00784420281689,1.01142565091614,0.0992666666666667,1.1375100191964
60,0.738916666666667,0.743136666666667,0.811046666666667,0.821803333333333,0.07213,0.0786666666666667,1.09763858732498,1.10590339379388,0.00422,0.0107566666666667,1.00573264895401,1.01328249273024,0.0828866666666667,1.11219762538353
61,0.723323333333333,0.72544,0.819296666666667,0.822293333333333,0.0959733333333333,0.0968533333333333,1.13271947567891,1.13353070382083,0.00211666666666666,0.00299666666666666,1.00295543058965,1.00367478033851,0.09897,1.13686234470852
62,0.733706666666667,0.740673333333333,0.803953333333333,0.813506666666667,0.0702466666666667,0.0728333333333333,1.09576529085636,1.09836722217692,0.00696666666666666,0.00955333333333334,1.00952573969912,1.011900800185,0.0798,1.10879219360998
63,0.734713333333333,0.74245,0.824286666666667,0.834193333333333,0.0895733333333333,0.0917433333333333,1.12196151409007,1.12360651630483,0.00773666666666667,0.00990666666666667,1.01056640910903,1.01203245304485,0.09948,1.13543899332481
64,0.733823333333333,0.735196666666667,0.821456666666667,0.830723333333333,0.0876333333333333,0.0955266666666667,1.11947226305697,1.12996741212754,0.00137333333333333,0.00926666666666666,1.00191076524874,1.01130264646794,0.0969,1.13209439426437
65,0.72934,0.733956666666667,0.817576666666667,0.825503333333333,0.0882366666666667,0.0915466666666667,1.12103014623564,1.12479362595963,0.00461666666666667,0.00792666666666665,1.00639214093845,1.00971138574362,0.0961633333333333,1.13189144599301
66,0.735333333333333,0.738566666666667,0.80648,0.820023333333333,0.0711466666666667,0.0814566666666667,1.09680522485684,1.11032103230646,0.00323333333333333,0.0135433333333333,1.00444043172918,1.01680249166301,0.08469,1.11523008422856
67,0.75506,0.75933,0.814603333333333,0.821903333333333,0.0595433333333333,0.0625733333333333,1.0788997888981,1.08243846416173,0.00427000000000001,0.0073,1.00569362108764,1.00898220100286,0.0668433333333333,1.08858318213138
